symptom_category,symptom_name,symptom_description,medicine_name,common_name,potency,dosage,frequency,modalities_better,modalities_worse,keynote_symptoms,miasm,source_material,notes,case_description
Fever,"Fever with bone pain, sometimes worsening at night",Fever with deep bone aching; chills up and down spine; thirst only during chill or related discomfort,Eupatorium perfoliatum,Boneset,30C,3–5 pellets,Every 3–4 hrs in acute,"Sweating, vomiting","Cold, 7–9 am",Aching as if bones broken; bilious vomiting; weakness,Psora,Whole plant Eupatorium perfoliatum,Flu-like bone aching,"The patient complains of Fever with bone pain, sometimes worsening at night. This could correspond to Fever with deep bone aching; chills up and down spine; thirst only during chill or related discomfort. Remedy often used in such cases: Fever (30C)."
Trauma,"Shock after injury, sometimes worsening at night",Shock; cold sweat; collapse; cold surface; pulse thready; internal haemorrhage or related discomfort,Carbo vegetabilis,Vegetable Charcoal,30C,3–5 pellets,Every 15 min in emergency,"Cold air, fanning, eructation",Warmth,Air hunger; cold breath; wants to be fanned; vitalforce very low,Psora,Vegetable charcoal,The 'corpse reviver' – seek emergency care also,"Clinical presentation: Shock after injury, sometimes worsening at night. Possible condition: Shock; cold sweat; collapse; cold surface; pulse thready; internal haemorrhage or related discomfort. Suggested homeopathic treatment: Trauma (30C)."
Neurological,"Insomnia – from overactive mind, sometimes worsening at night",Cannot sleep; mind overactive with business thoughts; wakeful 3 am or related discomfort,Nux vomica,Poison Nut,30C,3–5 pellets,At bedtime,"Short nap, open air","Mental overwork, midnight, 3 am",Wakes 3–4 am; sleepy in morning; irritable; catnapping,Psora,Seeds Strychnos nux-vomica,Classic executive insomnia,"Symptoms observed include Insomnia – from overactive mind, sometimes worsening at night. These signs may indicate Cannot sleep; mind overactive with business thoughts; wakeful 3 am or related discomfort. Recommended homeopathic medicine: Neurological with potency 30C."
ENT,"Vertigo, sometimes worsening at night",Vertigo with nausea; worse looking down or upward; better closing eyes or related discomfort,Conium maculatum,Hemlock,30C,3–5 pellets,Twice daily,Lying down,"Motion of head, looking down or up",Gradually increasing paralysis from below upward; dizziness worse from turning head,Syphilis,Whole plant Conium maculatum,Progressive neurological remedy,"Clinical presentation: Vertigo, sometimes worsening at night. Possible condition: Vertigo with nausea; worse looking down or upward; better closing eyes or related discomfort. Suggested homeopathic treatment: ENT (30C)."
Neurological,"Anxiety, sometimes worsening at night",Anticipatory anxiety; fear of exams or performance; trembling weakness or related discomfort,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily; 1 dose 1 hr before stressful event,"Urination, perspiration, stimulants","Emotion, bad news, anticipation",Diarrhoea before events; weak trembling; heavy eyelids; no thirst,Psora,Root bark Gelsemium sempervirens,Stage fright remedy,"Case description: Anxiety, sometimes worsening at night. Associated condition: Anticipatory anxiety; fear of exams or performance; trembling weakness or related discomfort. Appropriate remedy: Neurological potency 30C."
Paediatric,"Bedwetting, sometimes worsening at night",Involuntary urination in sleep; first deep sleep; cold; worms or related discomfort,Causticum,Potassium Hydrate,30C,3–5 pellets,At bedtime,"Warmth, damp weather","Cold dry winds, clear weather",Weakness of sphincters; paralytic conditions; worse cold dry air,Syphilis,Caustic potash compound,Also for urinary incontinence in adults,"The patient complains of Bedwetting, sometimes worsening at night. This could correspond to Involuntary urination in sleep; first deep sleep; cold; worms or related discomfort. Remedy often used in such cases: Paediatric (30C)."
Skin,"Keloid scars, sometimes worsening at night",Excessive scar formation; hard indurated tissue; old wounds that never heal or related discomfort,Silicea,Pure Silica,30C,3–5 pellets,Twice daily,"Warmth, summer, wrapping","Cold, damp, new moon",Pushes out foreign bodies; slow healing; deficient nutrition; cold sweaty feet,Psora,Pure silicon dioxide,Acts on connective tissue and bones,"Patient reports Keloid scars, sometimes worsening at night. Condition may relate to Excessive scar formation; hard indurated tissue; old wounds that never heal or related discomfort. Suggested remedy: Skin (Potency: 30C)."
Digestive,"Gastric ulcer, sometimes worsening at night",Burning pain in stomach 2–3 hrs after eating; better eating; gnawing hunger or related discomfort,Anacardium orientale,Marking Nut,30C,3–5 pellets,Before meals,Eating,"Hunger, 11 am",Symptoms relieved by eating; feels better with full stomach; mental symptoms,Psora,Kernel Anacardium orientale,Eating relieves all symptoms is keynote,"Case description: Gastric ulcer, sometimes worsening at night. Associated condition: Burning pain in stomach 2–3 hrs after eating; better eating; gnawing hunger or related discomfort. Appropriate remedy: Digestive potency 30C."
Musculoskeletal,"Sprains – tendons and ligaments, sometimes worsening at night","Sprains of tendons and ligaments; weakness in wrist, ankle; worse walking or related discomfort",Ruta graveolens,Rue,30C,3–5 pellets,3 times daily,"Lying on back, warmth","Rest, cold, damp",All parts feel lame bruised sore; periosteum and tendons; eye strain,Psora,Whole plant Ruta graveolens,Tendons and periosteum remedy,"Clinical presentation: Sprains – tendons and ligaments, sometimes worsening at night. Possible condition: Sprains of tendons and ligaments; weakness in wrist, ankle; worse walking or related discomfort. Suggested homeopathic treatment: Musculoskeletal (30C)."
Musculoskeletal,"Sprains – tendons and ligaments, sometimes worsening at night","Sprains of tendons and ligaments; weakness in wrist, ankle; worse walking or related discomfort",Ruta graveolens,Rue,30C,3–5 pellets,3 times daily,"Lying on back, warmth","Rest, cold, damp",All parts feel lame bruised sore; periosteum and tendons; eye strain,Psora,Whole plant Ruta graveolens,Tendons and periosteum remedy,"The patient complains of Sprains – tendons and ligaments, sometimes worsening at night. This could correspond to Sprains of tendons and ligaments; weakness in wrist, ankle; worse walking or related discomfort. Remedy often used in such cases: Musculoskeletal (30C)."
Women's Health,"Dysmenorrhoea – dark clotted, sometimes worsening at night",Painful menstruation with dark clotted blood; cutting pain; faintness or related discomfort,Chamomilla,Chamomile,30C,3–5 pellets,Every 30–60 min in acute,Warm wet weather,"Anger, cold, coffee, narcotics",Dark blood; extreme pain out of proportion; anger during pains,Psora,Whole plant Matricaria chamomilla,Anger makes it worse,"The patient complains of Dysmenorrhoea – dark clotted, sometimes worsening at night. This could correspond to Painful menstruation with dark clotted blood; cutting pain; faintness or related discomfort. Remedy often used in such cases: Women's Health (30C)."
Infections,"Measles, sometimes worsening at night",Early measles; hard dry cough; fever; photophobia; watery eyes or related discomfort,Euphrasia officinalis,Eyebright,30C,3–5 pellets,3 times daily,Dim light,"Light, open air",Acrid eye discharge; photophobia; coryza; cough; fever,Psora,Whole plant Euphrasia officinalis,Consult physician for measles,"The patient complains of Measles, sometimes worsening at night. This could correspond to Early measles; hard dry cough; fever; photophobia; watery eyes or related discomfort. Remedy often used in such cases: Infections (30C)."
Paediatric,"Bedwetting, sometimes worsening at night",Involuntary urination in sleep; first deep sleep; cold; worms or related discomfort,Causticum,Potassium Hydrate,30C,3–5 pellets,At bedtime,"Warmth, damp weather","Cold dry winds, clear weather",Weakness of sphincters; paralytic conditions; worse cold dry air,Syphilis,Caustic potash compound,Also for urinary incontinence in adults,"Patient reports Bedwetting, sometimes worsening at night. Condition may relate to Involuntary urination in sleep; first deep sleep; cold; worms or related discomfort. Suggested remedy: Paediatric (Potency: 30C)."
Metabolic,"Diabetes – management support, sometimes worsening at night",Excessive thirst and urination; weakness; sugar craving; slow healing wounds or related discomfort,Uranium nitricum,Uranium Nitrate,30C,3–5 pellets,Twice daily,,,Diabetes with great emaciation; hepatic and renal involvement,Psora/Sycosis,Uranium nitrate compound,Adjunctive only; monitor glucose,"Clinical presentation: Diabetes – management support, sometimes worsening at night. Possible condition: Excessive thirst and urination; weakness; sugar craving; slow healing wounds or related discomfort. Suggested homeopathic treatment: Metabolic (30C)."
Neurological,"Insomnia – sleepless after loss, sometimes worsening at night","Sleeplessness after grief, disappointment, or loss of loved one or related discomfort",Ignatia amara,St Ignatius Bean,30C,3–5 pellets,At bedtime,"Eating, change of position, warmth","Grief, emotional upset, morning coffee",Silent grief; sighing; lump in throat; contradictory symptoms,Psora,Seeds Strychnos ignatii,Hysterical symptoms; sighing,"The patient complains of Insomnia – sleepless after loss, sometimes worsening at night. This could correspond to Sleeplessness after grief, disappointment, or loss of loved one or related discomfort. Remedy often used in such cases: Neurological (30C)."
ENT,"Earache – throbbing, sometimes worsening at night",Throbbing earache; high fever; worse right side; child cries out in sleep or related discomfort,Belladonna,Deadly Nightshade,30C,3–5 pellets,Every 30–60 min in acute,"Warmth, semi-erect position","Motion, jar, light, noise",Sudden onset; high fever; hot red face; drum-like fullness,Psora,Berries and root Atropa belladonna,Classic otitis media remedy,"Patient reports Earache – throbbing, sometimes worsening at night. Condition may relate to Throbbing earache; high fever; worse right side; child cries out in sleep or related discomfort. Suggested remedy: ENT (Potency: 30C)."
Respiratory,"Rattling loose cough, sometimes worsening at night",Rattling cough with inability to expectorate; chest full of mucus; worse 4–6 am or related discomfort,Antimonium tartaricum,Tartar Emetic,30C,3–5 pellets,Every 2–3 hrs,"Sitting up, eructation","Lying down, 4 am, warmth",Rattling chest; extreme weakness; pale and sweaty,Sycosis,Tartrate of antimony and potash,Keynote: rattling with inability to raise mucus,"Clinical presentation: Rattling loose cough, sometimes worsening at night. Possible condition: Rattling cough with inability to expectorate; chest full of mucus; worse 4–6 am or related discomfort. Suggested homeopathic treatment: Respiratory (30C)."
ENT,"Tinnitus, sometimes worsening at night",Ringing or roaring in ears; worse at night; associated with vertigo or related discomfort,Chininum sulphuricum,Quinine Sulphate,30C,3–5 pellets,Twice daily,Warmth,"Cold, night, noise",Periodical complaints; debility after long illness; malarial keynote,Psora,Quinine sulphate compound,Periodicity is characteristic,"Symptoms observed include Tinnitus, sometimes worsening at night. These signs may indicate Ringing or roaring in ears; worse at night; associated with vertigo or related discomfort. Recommended homeopathic medicine: ENT with potency 30C."
